0,0.01,0.1,0.2,10
0,1.261,1.08,1.07,1.06
5,1.261,1.083,1.066,1.05
10,1.263,1.066,1.052,1.037
15,1.239,1.054,1.04,1.023
20,1.244,1.044,1.03,1.014
25,1.24,1.039,1.026,1.009
30,1.229,1.027,1.012,1.004
35,1.214,1.02,1.008,0.989
40,1.201,1.017,1.002,0.985
45,1.202,1.014,1,0.984
